memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:08:10] "POST /check_answer HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:08:10] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:08:12] "POST /check_answer HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:08:12] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:08:14] "POST /check_answer HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:08:14] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:08:17] "POST /check_answer HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:08:17] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:08:19] "POST /check_answer HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:08:19] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:08:21] "POST /check_answer HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:08:21] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:08:24] "POST /check_answer HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:08:24] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:08:26] "POST /check_answer HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:08:26] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:08:28] "POST /check_answer HTTP/1.1" 302 -
